Country,Region,Year,Happiness Rank,Happiness Score,Economy GDP per Capita,Family Social Support,Health Life Expectancy,Freedom to Make Choices,Perceptions of Corruption,Generosity,Dystopia Residual,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020"
Afghanistan,South Asia,2015,153,3.575,0.32,0.303,0.303,0.234,0.097,0.365,1.952,38928341,38041754,5.628
Afghanistan,South Asia,2016,154,3.36,0.382,0.11,0.173,0.164,0.071,0.313,2.146,38928341,38041754,5.628
Afghanistan,South Asia,2017,141,3.794,0.401,0.582,0.181,0.106,0.061,0.312,2.151,38928341,38041754,5.628
Afghanistan,South Asia,2018,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,,38928341,38041754,5.628
Afghanistan,South Asia,2019,154,3.203,0.35,0.517,0.361,0,0.025,0.158,,38928341,38041754,5.628
Afghanistan,South Asia,2020,153,2.567,0.301,0.356,0.266,0,0.135,0.001,1.57,38928341,38041754,5.628
Afghanistan,South Asia,2021,149,2.523,0.37,0,0.126,0,0.01,0.122,1.895,38928341,38041754,5.628
Afghanistan,South Asia,2022,146,2.404,0.758,0,0.289,0,0.005,0.089,1.263,38928341,38041754,5.628
Albania,Central and Eastern Europe,2015,95,4.959,0.879,0.804,0.813,0.357,0.064,0.143,1.899,2877800,2854191,41.038
Albania,Central and Eastern Europe,2016,109,4.655,0.955,0.502,0.73,0.319,0.053,0.168,1.928,2877800,2854191,41.038
Albania,Central and Eastern Europe,2017,109,4.644,0.996,0.804,0.731,0.381,0.04,0.201,1.49,2877800,2854191,41.038
Albania,Central and Eastern Europe,2018,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,,2877800,2854191,41.038
Albania,Central and Eastern Europe,2019,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,,2877800,2854191,41.038
Albania,Central and Eastern Europe,2020,105,4.883,0.907,0.83,0.846,0.462,0.171,0.025,1.641,2877800,2854191,41.038
Albania,Central and Eastern Europe,2021,93,5.117,1.008,0.529,0.646,0.491,0.024,0.168,2.25,2877800,2854191,41.038
Albania,Central and Eastern Europe,2022,90,5.199,1.439,0.646,0.719,0.511,0.028,0.138,1.718,2877800,2854191,41.038
Algeria,Middle East and North Africa,2015,68,5.605,0.939,1.078,0.618,0.286,0.174,0.078,2.432,43851043,43053054,6.285
Algeria,Middle East and North Africa,2016,38,6.355,1.053,0.833,0.618,0.21,0.162,0.07,3.49,43851043,43053054,6.285
Algeria,Middle East and North Africa,2017,53,5.872,1.092,1.146,0.618,0.233,0.146,0.069,2.568,43851043,43053054,6.285
Algeria,Middle East and North Africa,2018,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,,43851043,43053054,6.285
Algeria,Middle East and North Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,,43851043,43053054,6.285
Algeria,Middle East and North Africa,2020,100,5.005,0.944,1.143,0.745,0.084,0.119,0.129,1.841,43851043,43053054,6.285
Algeria,Middle East and North Africa,2021,109,4.887,0.946,0.765,0.552,0.119,0.12,0.144,2.242,43851043,43053054,6.285
Algeria,Middle East and North Africa,2022,96,5.122,1.363,0.97,0.643,0.146,0.15,0.106,1.744,43851043,43053054,6.285
Argentina,Latin America and Caribbean,2015,30,6.574,1.054,1.248,0.787,0.45,0.085,0.115,2.836,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2016,26,6.65,1.151,1.066,0.697,0.423,0.073,0.11,3.13,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2017,24,6.599,1.185,1.44,0.695,0.495,0.06,0.109,2.614,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2018,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2019,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2020,55,5.975,1.028,1.373,0.85,0.521,0.07,0.06,2.73,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2021,57,5.929,1.162,0.98,0.646,0.544,0.067,0.069,2.461,45195777,44938712,95.684
Argentina,Latin America and Caribbean,2022,57,5.967,1.592,1.102,0.662,0.555,0.085,0.081,1.891,45195777,44938712,95.684
Armenia,Commonwealth of Independent States,2015,127,4.35,0.768,0.777,0.73,0.198,0.039,0.079,1.759,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2016,121,4.36,0.861,0.625,0.641,0.14,0.036,0.078,1.979,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2017,121,4.376,0.901,1.007,0.638,0.198,0.027,0.083,1.521,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2018,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2019,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2020,116,4.677,0.808,1.035,0.776,0.378,0.107,0.105,1.468,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2021,86,5.283,0.996,0.758,0.585,0.54,0.198,0.079,2.127,2963234,2957731,95.268
Armenia,Commonwealth of Independent States,2022,82,5.399,1.434,0.82,0.668,0.558,0.21,0.054,1.654,2963234,2957731,95.268
Australia,North America and ANZ,2015,10,7.284,1.334,1.309,0.932,0.651,0.356,0.436,2.266,25499881,25364307,3.565
Australia,North America and ANZ,2016,9,7.313,1.444,1.105,0.851,0.568,0.323,0.474,2.547,25499881,25364307,3.565
Australia,North America and ANZ,2017,10,7.284,1.484,1.51,0.844,0.602,0.301,0.478,2.65,25499881,25364307,3.565
Australia,North America and ANZ,2018,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,,25499881,25364307,3.565
Australia,North America and ANZ,2019,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,,25499881,25364307,3.565
Australia,North America and ANZ,2020,12,7.223,1.31,1.477,1.023,0.622,0.325,0.336,2.13,25499881,25364307,3.565
Australia,North America and ANZ,2021,11,7.183,1.453,1.076,0.801,0.647,0.317,0.291,2.598,25499881,25364307,3.565
Australia,North America and ANZ,2022,12,7.162,1.9,1.203,0.772,0.676,0.341,0.258,2.11,25499881,25364307,3.565
Austria,Western Europe,2015,13,7.2,1.337,1.297,0.89,0.624,0.187,0.331,2.533,9006400,8877067,69.084
Austria,Western Europe,2016,12,7.119,1.45,1.084,0.806,0.544,0.213,0.329,2.693,9006400,8877067,69.084
Austria,Western Europe,2017,13,7.006,1.487,1.46,0.815,0.568,0.221,0.316,2.139,9006400,8877067,69.084
Austria,Western Europe,2018,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,,9006400,8877067,69.084
Austria,Western Europe,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,,9006400,8877067,69.084
Austria,Western Europe,2020,9,7.294,1.317,1.437,1.001,0.603,0.256,0.281,2.398,9006400,8877067,69.084
Austria,Western Europe,2021,10,7.268,1.492,1.062,0.782,0.64,0.292,0.215,2.784,9006400,8877067,69.084
Austria,Western Europe,2022,11,7.163,1.931,1.165,0.774,0.623,0.329,0.193,2.148,9006400,8877067,69.084
Azerbaijan,Commonwealth of Independent States,2015,80,5.212,1.024,0.938,0.64,0.37,0.161,0.078,2.1,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2016,81,5.291,1.124,0.76,0.545,0.353,0.179,0.056,2.274,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2017,85,5.234,1.154,1.152,0.541,0.398,0.181,0.045,1.762,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2018,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2019,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2020,89,5.165,0.99,1.181,0.731,0.468,0.04,0.247,1.58,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2021,90,5.171,1.025,0.841,0.541,0.526,0.276,0.043,1.919,10139175,10023318,26.048
Azerbaijan,Commonwealth of Independent States,2022,92,5.173,1.458,1.093,0.56,0.601,0.341,0.023,1.98,10139175,10023318,26.048
Bahrain,Middle East and North Africa,2015,49,5.96,1.324,1.216,0.747,0.455,0.306,0.174,1.738,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2016,42,6.218,1.44,0.944,0.657,0.474,0.258,0.171,2.274,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2017,41,6.087,1.488,1.323,0.653,0.537,0.257,0.173,1.656,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2018,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2019,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2020,40,6.227,1.297,1.315,0.839,0.61,0.287,0.127,1.752,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2021,22,6.647,1.409,0.899,0.662,0.661,0.139,0.246,2.631,1701583,1641172,20.687
Bahrain,Middle East and North Africa,2022,21,6.647,1.854,1.029,0.625,0.693,0.155,0.199,2.92,1701583,1641172,20.687
Bangladesh,South Asia,2015,109,4.694,0.398,0.431,0.602,0.408,0.126,0.212,2.518,164689383,163046161,4.59
Bangladesh,South Asia,2016,110,4.643,0.542,0.247,0.53,0.398,0.126,0.191,2.69,164689383,163046161,4.59
Bangladesh,South Asia,2017,110,4.608,0.587,0.735,0.533,0.478,0.124,0.172,1.979,164689383,163046161,4.59
Bangladesh,South Asia,2018,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,,164689383,163046161,4.59
